Sobic.001G000100	
Sobic.001G000200	
Sobic.001G000300	
Sobic.001G000400	GO:0005524, GO:0016020, GO:0016887
Sobic.001G000501	
Sobic.001G000700	GO:0005515
Sobic.001G000800	
Sobic.001G000900	
Sobic.001G001000	
Sobic.001G001066	GO:0003676, GO:0008270
Sobic.001G001132	
Sobic.001G001200	
Sobic.001G001300	
Sobic.001G001400	
Sobic.001G001700	
Sobic.001G001800	
Sobic.001G001900	GO:0005515
Sobic.001G002000	GO:0004672, GO:0005515, GO:0006468
Sobic.001G002050	
Sobic.001G002100	
Sobic.001G002200	GO:0003774, GO:0005515, GO:0005524, GO:0016459
Sobic.001G002300	GO:0016747
Sobic.001G002400	GO:0004252, GO:0006508
Sobic.001G002500	GO:0003700, GO:0006355
Sobic.001G002600	
Sobic.001G002650	
Sobic.001G002700	GO:0016787
Sobic.001G002800	
Sobic.001G002900	
Sobic.001G003000	
Sobic.001G003100	GO:0005524
Sobic.001G003200	GO:0003677, GO:0003700, GO:0006352, GO:0006355, GO:0016987
Sobic.001G003300	GO:0005524, GO:0016020, GO:0016887
Sobic.001G003400	GO:0030001, GO:0046872
Sobic.001G003500	
Sobic.001G003600	GO:0016788
Sobic.001G003700	GO:0006855, GO:0015238, GO:0015297, GO:0016020, GO:0055085
Sobic.001G003900	
Sobic.001G004000	
Sobic.001G004100	GO:0005515
Sobic.001G004200	GO:0016798
Sobic.001G004300	
Sobic.001G004400	GO:0006886, GO:0008536
Sobic.001G004500	
Sobic.001G004550	
Sobic.001G004600	
Sobic.001G004700	
Sobic.001G004800	
Sobic.001G004901	GO:0004871, GO:0009638
Sobic.001G005000	
Sobic.001G005100	GO:0005515, GO:0006355, GO:0006950
Sobic.001G005200	
Sobic.001G005300	GO:0016491, GO:0055114
Sobic.001G005400	
Sobic.001G005500	GO:0044238
Sobic.001G005600	
Sobic.001G005700	
Sobic.001G005800	GO:0003677, GO:0004003, GO:0006303, GO:0016817
Sobic.001G005900	
Sobic.001G006000	
Sobic.001G006101	GO:0016491, GO:0055114
Sobic.001G006201	GO:0016491, GO:0055114
Sobic.001G006300	
Sobic.001G006400	
Sobic.001G006500	GO:0005515
Sobic.001G006600	GO:0003700, GO:0006355, GO:0043565
Sobic.001G006700	
Sobic.001G006800	
Sobic.001G006900	GO:0004553, GO:0005618, GO:0005975, GO:0006073, GO:0016762, GO:0048046
Sobic.001G007000	
Sobic.001G007100	
Sobic.001G007200	GO:0003700, GO:0005634, GO:0006355, GO:0043565
Sobic.001G007300	
Sobic.001G007400	GO:0003676
Sobic.001G007500	
Sobic.001G007600	GO:0005096
Sobic.001G007700	
Sobic.001G007800	GO:0005515
Sobic.001G007900	
Sobic.001G008000	
Sobic.001G008100	
Sobic.001G008200	GO:0003677, GO:0003700, GO:0005634, GO:0006355
Sobic.001G008300	
Sobic.001G008400	
Sobic.001G008500	
Sobic.001G008600	GO:0016788
